model,repeats,pr_auc_mean_of_means,pr_auc_sd_of_means,pr_auc_min,pr_auc_max,f1_mean_of_means,precision_mean_of_means,recall_mean_of_means
logreg,5,0.8090667684406847,0.00026988071268683886,0.8086963197018532,0.8093899796022836,0.7076494139163769,0.611648623530119,0.8394068196845188
rf,5,0.7429024640476147,0.0013893117377145887,0.7408236122912633,0.7445182984699822,0.6454568158587545,0.5475089297561847,0.7861244923018796
dt,5,0.6116938622362715,0.001995908765180947,0.6092860380719208,0.6137923807848292,0.6354653674930002,0.5466477922158376,0.758836308680457
