model_a,model_b,metric,diff_mean,ci_2p5,ci_97p5
LogisticRegression,RandomForest,PR_AUC,0.06982327421532872,0.06544400117770831,0.07423393694852477
LogisticRegression,DecisionTree,PR_AUC,0.19047314752361263,0.18294382460116257,0.19799950135502478
RandomForest,DecisionTree,PR_AUC,0.12064987330828392,0.11318549529809148,0.12771878975815396
