model,training_rows,test_rows,feature_dims,fit_time_sec,predict_time_sec_mean,predict_time_sec_sd
LogisticRegression,320000,80000,5155,59.52629408298526,6.817457933421247,0.11132951376563416
RandomForest,320000,80000,5155,93.73699212505016,7.044024558411911,0.19381351058248325
DecisionTree,320000,80000,5155,143.336966709001,7.349475391767919,0.940113013637043
