CLUSTER,MANU__JANSSEN,MANU__MODERNA,MANU__NOVAVAX,MANU__PFIZER_BIONTECH,MANU__UNKNOWN_MANUFACTURER
0.0,0.11112170277668078,0.4845777783830158,0.0007217463538191276,0.4020535726444514,0.0025601568776980376
1.0,0.0012268951507471992,0.006858545023029425,0.00010056517629075403,0.9956555843842394,0.09716607333212655
2.0,0.08260535997628637,0.4030095377587139,0.0010287527680424055,0.5135394326166937,0.0036006346881484195
3.0,0.06927684243881914,0.4038586411640338,0.0010129712264224453,0.5284021547716139,0.0030389136792673362
4.0,0.02909380571255168,0.7188673519705648,0.0009103668019572886,0.25002844896256116,0.0017448697037514699
5.0,0.0362316128307819,0.4473930456263802,0.0012538832952801587,0.5194819777669648,0.0015533181120634802
6.0,0.08445274738309166,0.4066957269519319,0.0009489072739673221,0.503128428668861,0.010526940070574978
7.0,0.0024803344908227625,0.9817400137008953,0.00041338908180379373,0.018212741832612855,0.004877991165284766
8.0,0.00044253009204625913,0.0026256785461411377,1.4751003068208637e-05,0.9970202973802219,0.0004277790889780505
9.0,0.9845668527056539,0.014219849551079834,0.0,0.010434360592089298,0.013443338995389468
10.0,0.02891580117272832,0.7229333537730426,0.0006706779596060246,0.24652205572375732,0.0015138159659678842
11.0,0.011137000908336954,0.8600371233363612,0.0007503653094269578,0.12819398917894237,0.0004739149322696576
12.0,0.09030967432183724,0.5336960870608947,0.00040009602304553094,0.37464991597983516,0.0020965031607585822
13.0,0.10792670524933898,0.3456354122367472,0.0013127969972079952,0.5448477340384225,0.001423737588521347
14.0,0.024706471537477046,0.49952701574759334,0.00011129041233097768,0.47621167436425355,0.00022258082466195537
