sample_size,n_pairs,ari_mean,ari_sd,ari_min,ari_max
20000,10,0.353204093835854,0.1236936158917637,0.1944796378910868,0.5119642436987487
50000,10,0.4147197823921382,0.052324814091380116,0.3517989633760597,0.5421352536626458
100000,10,0.44992287221086136,0.06580746397093144,0.3757743998915143,0.5755128783865345
