feature,importance,feature_type
away,0.0004071325968976699,text
noticed,0.0004067424349857031,text
binary__HISTORY__respiratory,0.0004017785460342723,structured
th,0.0004014088839270477,text
told,0.00039993365217690986,text
subsequently medically,0.0003943688585645658,text
walking,0.00038918844295854967,text
dizzy,0.0003881976473983162,text
response,0.0003832236620208365,text
previously,0.0003815251768677707,text
cat__YEAR_2023,0.00038134101804307874,structured
fine,0.0003792693409567215,text
slight,0.0003777405674490549,text
shortness,0.0003731331037882577,text
heavy,0.00037245038212669853,text
prescription,0.0003663955627348435,text
ear,0.0003663505486708861,text
resolved,0.00036443522560604115,text
allergic,0.0003639415055486957,text
cat__MONTH_7,0.0003593460782550167,structured
sender comments,0.0003573665340182637,text
instructed,0.00035706482620848816,text
causal relationship,0.000355726804859626,text
attack,0.00035298740893471316,text
cat__STATE_MI,0.00035180920506360934,structured
systemic fainting,0.00035070386810732773,text
cat__MONTH_2,0.000349635052230013,structured
ibuprofen,0.0003463298342360109,text
oxygen,0.0003399664872902838,text
cleared,0.0003357337162717222,text
nurse,0.00033507712613683213,text
completely,0.0003340069244582401,text
benadryl,0.00033220689141759104,text
issues,0.00033017489803841265,text
left arm,0.00032819826417580263,text
diarrhea,0.00032490028000003714,text
binary__OTHER_MEDS__other,0.00032334562242958146,structured
recovered,0.0003212920052874197,text
ct,0.00032070808675514463,text
patient stated,0.000317095512905283,text
lower,0.00031680769384023137,text
prednisone,0.00031670872512127023,text
product use,0.000316306494228802,text
worsening,0.00031546964010961904,text
occurrence covid,0.00031356347243554467,text
physician office,0.00031341618266851585,text
vaccines,0.00031259591431131946,text
contracted,0.0003116802154654438,text
months,0.0003107818679974834,text
following,0.0003094843789698961,text
ultrasound,0.0003073490655980795,text
moderna covid,0.0003066182123206869,text
head,0.00030479587178702073,text
bit,0.0003043695764402102,text
shingles,0.0003022828563811891,text
needed information,0.0003011346757173588,text
codeine,0.00030087458597109464,text
requested,0.00029741026455672664,text
number el,0.00029654425130206817,text
cat__MONTH_10,0.000291439782181402,structured
attempts,0.0002896353577408956,text
experienced,0.0002888819180844117,text
measurement,0.000287215400027075,text
little,0.0002861206811920866,text
number bnt,0.00028480984332704683,text
showed,0.00028346600430853027,text
later,0.0002824874236134987,text
medical history,0.00028137556433165253,text
detailed,0.0002791014937027572,text
palsy,0.0002782526791470136,text
results,0.00027783373293305285,text
blood pressure,0.0002778012728453505,text
pfizer,0.0002768994701599361,text
