CLUSTER,0,1
0.0,0.9158144158620783,0.08418558413792164
1.0,0.9086264808222209,0.09137351917777913
2.0,0.5258408746142177,0.4741591253857823
3.0,0.6747011734882054,0.32529882651179465
4.0,0.9557334142548268,0.044266585745173156
5.0,0.9798442938952727,0.020155706104727326
6.0,0.557127183228064,0.4428728167719361
7.0,0.9223300970873787,0.07766990291262135
8.0,0.8815641963653529,0.11843580363464716
9.0,0.8644503761223005,0.1355496238776996
10.0,0.9377802475759782,0.062219752424021765
11.0,0.9854666087437305,0.0145333912562695
12.0,0.9341281907657838,0.0658718092342162
13.0,0.7233511454616053,0.2766488545383947
14.0,0.9987758054643593,0.0012241945356407545
