FeatureSet,PR-AUC,F1,Precision,Recall
Structured only,0.5599508036468901,0.5330961880498005,0.43108139625281816,0.6983627204030227
Structured + raw TF-IDF,0.8038277923516393,0.7053818336524144,0.6104565537555229,0.8352644836272041
