seed_a,seed_b,ARI
1,7,0.4769463367153934
1,21,0.4447973077952077
1,42,0.5183204386887369
1,88,0.46818511300457616
7,21,0.5270810353254359
7,42,0.47649854710122513
7,88,0.3971470151714396
21,42,0.371449240708759
21,88,0.3828132551339049
42,88,0.38490761933091133
