Model,BestParams,CV_PR_AUC_Mean,CV_PR_AUC_SD,CV_F1_Mean,CV_F1_SD,CV_Precision_Mean,CV_Precision_SD,CV_Recall_Mean,CV_Recall_SD,Test_PR_AUC,Test_F1,Test_Precision,Test_Recall
Logistic Regression,{'clf__C': 1.0},0.8092135965683841,0.0013309185328423563,0.7073795290239396,0.0010020960907658363,0.6113402771812112,0.002420848829091412,0.8392367998488712,0.002101855171516851,0.8119423739025258,0.7098754001216899,0.6120614935450025,0.8448992443324937
Decision Tree,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}",0.6539569221930925,0.0027172923236636797,0.6191370549384166,0.002506283704842884,0.5224284072014762,0.012523422053843183,0.7608387645225276,0.018577255203268635,0.6556927994589192,0.617243713490611,0.5127671095930354,0.7751889168765743
Random Forest,"{'clf__max_depth': 20, 'clf__n_estimators': 100}",0.7425749565506083,0.0038065896395350326,0.6456426103268008,0.005437428270699609,0.5486766732025385,0.007341209643619383,0.7843109473883064,0.0022514637676544734,0.7421728047172937,0.645719864351043,0.5453480298559278,0.7913727959697733
