k,inertia,silhouette
5,836565.1855454562,0.03228113314219472
8,808939.7802051804,0.03823959932447501
10,795038.2209688604,0.03945262339082494
12,783841.6262075616,0.041619566747382646
15,763534.380017174,0.052504452954505475
