year,total_reports,serious_count,serious_rate,serious_percent
2020,10381,2020,0.19458626336576437,19.458626336576437
2021,710732,126406,0.1778532555168474,17.785325551684743
2022,195332,46477,0.2379384842217353,23.79384842217353
2023,47292,15693,0.33183202232935805,33.183202232935805
2024,18179,3793,0.20864734033775234,20.864734033775235
2025,4180,1357,0.32464114832535884,32.464114832535884
