CLUSTER,HISTORY__cardiovascular,HISTORY__respiratory,HISTORY__metabolic,HISTORY__endocrine_thyroid,HISTORY__musculoskeletal,HISTORY__mental_health,HISTORY__gastrointestinal,HISTORY__kidney,HISTORY__clotting,HISTORY__autoimmune,HISTORY__cancer_immunocompromised,HISTORY__neurologic,HISTORY__lymphatic_edema,HISTORY__other,CUR_ILL__acute_infection,CUR_ILL__chronic_cardiovascular,CUR_ILL__chronic_respiratory,CUR_ILL__metabolic_endocrine,CUR_ILL__endocrine_thyroid,CUR_ILL__autoimmune_inflammatory,CUR_ILL__neurologic,CUR_ILL__neuro_headache,CUR_ILL__cancer_immunocompromised,CUR_ILL__lymphatic_edema,CUR_ILL__other,ALLERGIES__drug_allergy,ALLERGIES__food_allergy,ALLERGIES__latex_other_contact,ALLERGIES__anaphylaxis_history,ALLERGIES__other,PRIOR_VAX__prior_covid_vax,PRIOR_VAX__prior_flu_vax,PRIOR_VAX__prior_other_vax,PRIOR_VAX__prior_vax_reaction,PRIOR_VAX__other,LAB_DATA__cardiac_markers,LAB_DATA__coagulation,LAB_DATA__inflammation,LAB_DATA__cbc,LAB_DATA__vitals_procedures,LAB_DATA__other,OTHER_MEDS__anticoagulant,OTHER_MEDS__statin,OTHER_MEDS__immunosuppressant,OTHER_MEDS__diabetes_meds,OTHER_MEDS__thyroid_meds,OTHER_MEDS__psych_meds,OTHER_MEDS__other
0.0,0.06550188607301895,0.08908801220159873,0.06423542548990235,0.06066754728800403,0.057644383315403155,0.04948728773167377,0.03567878201898329,0.006128035079596366,0.003962796018138984,0.015020494872877316,0.019269265861397464,0.043318399084880096,0.001470728419103128,0.1685618182560974,0.035733253441913033,0.004793485217817603,0.006400392194245094,0.004834338785014911,0.003990031729603856,0.005188403034058257,0.0021924747729222555,0.007639617065896804,0.00322743180858742,0.0005719499407623276,0.08475753407868397,0.15382729835360123,0.023776776108833903,0.027603393569648523,0.004956899486606839,0.25850775536883963,0.04158893140686067,0.03273732518077704,0.01890158375662168,0.008266038429588876,0.03201557882695791,0.0031321068184603654,0.0026963354350224016,0.0037585281821524382,0.004698160227690548,0.03181131099097136,0.18217967398853377,0.013577002165239061,0.06571977176473792,0.00810262416079964,0.034766385684910056,0.07126223904783953,0.04911960562689799,0.4585132025111326
1.0,0.046018624670649044,0.06084193165590619,0.048914901747822766,0.041975904583760736,0.03473521189082644,0.03161769142581307,0.017015627828395583,0.004324302580502423,0.0044248677567931775,0.014059011645447414,0.03304571692914178,0.023954624992457613,0.000945312657133088,0.2992417385707677,0.0034996681349182407,0.00647639735312456,0.006637301635189766,0.006818318952513123,0.006134475753735997,0.005108710955570305,0.0016291558559102155,0.0020113035258150806,0.003318650817594883,0.0002815824936141113,0.030974074297552244,0.004646111144632837,0.0010056517629075403,0.0009050865866167863,0.0002413564230978097,0.007280918763450593,0.001166556044972747,0.0007240692692934291,0.00042237374042116695,0.00012067821154890484,0.0006838431987771274,0.002594581548301454,0.0024940163720107,0.003057181359238923,0.0070194493050946315,0.035479394195378024,0.3755908204107082,0.007260805728192442,0.03336752549327219,0.007120014481385386,0.01520545465516201,0.03201995213097609,0.01818218387336833,0.1780204750698928
2.0,0.12244773412843717,0.11901274607243117,0.1074436365538526,0.06845565029380482,0.07464560338965319,0.06492476155603215,0.05458492441282628,0.02268487035971474,0.012693762968387649,0.017689316664051193,0.03654687799689631,0.052649474289899044,0.005135045596415058,0.1839375076284633,0.029964603930184304,0.015370263814057296,0.01414099143868459,0.013321476521769455,0.007637181566145315,0.006373036215584733,0.004986835451866576,0.0066781747484786665,0.00605046119509686,0.0016564663214242122,0.09980645498770728,0.14807937089152762,0.024236717755575315,0.0270178375268086,0.006451500409757459,0.26795522309985875,0.02422799951177835,0.024707502920611673,0.011830656832487664,0.006381754459381702,0.020147861414796603,0.033835504176038776,0.02495161374692682,0.017436487593939076,0.024489546825687433,0.19023207964987532,0.37187668915973565,0.023731059615351085,0.08336384718662272,0.013382504228348241,0.04405328590608708,0.0704346916357169,0.04629387456190825,0.42211120991787415
3.0,0.08682462091499872,0.06333927263471219,0.07318327506584313,0.04069546968099198,0.04066949605980166,0.03899160013090705,0.030378747344197234,0.01448808589996,0.006129774600915311,0.010467369339698602,0.020093193352830864,0.03071120969543332,0.0022908733889861455,0.11540079894858782,0.015532225471810828,0.008945315137945902,0.00672716788829265,0.00820766429614084,0.0043531789114974835,0.004067469078403973,0.0034285179971221226,0.0034960494122169526,0.003709033105977569,0.0009038820174231051,0.06193150236619689,0.09180116673506387,0.01469068014524449,0.016285460486330082,0.0025609990493654644,0.17312976940619107,0.012701100762066046,0.010103738643034134,0.005251866204682524,0.002986966436886698,0.011921892126356472,0.004197337184355569,0.0054856287953953965,0.006031074840392098,0.007288198106003543,0.07721438107458066,0.2264120559160117,0.012119291647402898,0.04833690903518387,0.007901175566095073,0.028576178033589087,0.0431629636940723,0.03216573248209119,0.2864526786595534
4.0,0.046030421423965406,0.052156431362136324,0.047225277851534346,0.035940522702272125,0.03195766794370899,0.03182490611842355,0.02171604142168949,0.0033000796570951713,0.0024086788301786594,0.007946743542085499,0.01196753025073019,0.022474680423320563,0.0011758904525281644,0.17501801767628875,0.01579865720896711,0.007605355991351515,0.0075863900163107385,0.007567424041269962,0.005139779236050525,0.004760459735234988,0.0017828016538330236,0.0034328414823806093,0.0038690589083184767,0.0007207070515495202,0.06706368774418693,0.09249706027386868,0.01329514850358457,0.01919356674126617,0.0025793726055456513,0.15201228995182642,0.015438303683192352,0.01731593521222926,0.010241626522019497,0.005177711186132079,0.016557296210598187,0.00047414937601942116,0.0006638091264271896,0.0007965709517126276,0.0010620946022835034,0.010601980047794257,0.08504343208284337,0.010033000796570952,0.04555627204794598,0.0055380647119068396,0.028050677085308957,0.04895118158024504,0.035807760876986686,0.3036642263778781
5.0,0.030055769734625894,0.019538121795111725,0.028259160833925965,0.008028596025002808,0.008758468390912153,0.014728450050529626,0.010461503911367295,0.005539544110491447,0.0016656061683572258,0.0017966089006999288,0.00754201444772991,0.007429726391436164,0.001197739267133286,0.10289328891716884,0.00497810382902272,0.0036119324774488153,0.0022831904779728263,0.004135943406819628,0.0010667365347905827,0.0006924430138114309,0.0015720327881124378,0.000598869633566643,0.002114758393532208,0.00043043754912602464,0.05580716397799154,0.01688063779615975,0.0036680765055956883,0.0029943481678332147,0.0007298723659093461,0.08118426470037804,0.0018340382527978441,0.0006924430138114309,0.00033686416888123666,0.0002994348167833215,0.0010480218587416252,0.00018714676048957592,0.0002058614365385335,0.00018714676048957592,0.0004678669012239398,0.001983755661189505,0.04096642587116817,0.003855223266085264,0.01321256129056406,0.0020398996893363774,0.008571321630422577,0.007317438335142419,0.010236927798779803,0.0984579106935659
6.0,0.14797022803427928,0.08036058476410758,0.1053880141149957,0.03819351777718471,0.04053613260979154,0.05708270319959671,0.04178157340687365,0.029297512083741067,0.01150550069685378,0.010349019956706106,0.026836283841888325,0.037333570560151824,0.003973549209738161,0.09981318388043768,0.015034249621919758,0.013996382291018,0.009103579159623995,0.010437980013640541,0.0032915221065741482,0.0024019215372297837,0.005130029949885834,0.0034101355158200636,0.004032855914361118,0.0010675206832132373,0.08231770601666519,0.0620051596833022,0.01372950212021469,0.013403315244788423,0.008658778874951813,0.17486581858079056,0.009666992853542092,0.008036058476410759,0.0024612282418527416,0.004952109836016962,0.013581235358657295,0.011594460753788215,0.01120896717373899,0.008658778874951813,0.01120896717373899,0.05622275598256383,0.18216054324941436,0.01375915547252617,0.04000237226818492,0.007680218248673013,0.025294309521691427,0.024938469293953682,0.025146042760134033,0.1920351095691368
7.0,0.007263836723123804,0.0049252356317766284,0.0042992464507594546,0.003708690619611178,0.006000047244466492,0.0032126237214466255,0.0029645902723643494,0.0015708785108544162,0.0019960787092811755,0.002314978858101245,0.012212694588146363,0.005409491413318215,0.00044882243167269036,0.27880140788510144,0.0061772139938109745,0.02579547870455673,0.02291356624855314,0.02626792336947535,0.01574421845841306,0.021094654288616444,0.006082725060827251,0.006437058559516217,0.0177521082843172,0.0017598563768218647,0.1131623083646328,0.0010393782628209671,0.00022441121583634518,0.00017716674934448303,2.362223324593107e-05,0.0024330900243309003,0.00024803344908227624,0.00014173339947558643,3.543334986889661e-05,5.9055583114827674e-05,0.00017716674934448303,0.0018425341931826234,0.0015354451609855195,0.001500011811116623,0.004866180048661801,0.024850589374719487,0.15766659579996692,0.011917416672572225,0.03646091701509461,0.009236293199159048,0.020799376373042307,0.03179552594902322,0.01592138520775754,0.18078095103111047
8.0,0.04463653528439934,0.05794194005192353,0.04540358744394619,0.046745928723153175,0.037113523719612934,0.03318975690346944,0.018984540948784517,0.003717252773188577,0.004912084021713476,0.014795256077413265,0.028469435921642673,0.029929785225395328,0.0010915742270474393,0.3164090158130753,0.0033189756903469437,0.004277790889780505,0.00573814019353316,0.006401935331602549,0.0041450318621666276,0.004248288883644088,0.0016521123436393675,0.001917630398867123,0.002315907481708756,0.0002655180552277555,0.03046082133585084,0.010428959169223507,0.002050389426481001,0.0020946424356856268,0.0006637951380693887,0.018424002832192587,0.0005900401227283455,0.0014160962945480293,0.000855558177956101,0.00039827708284163323,0.0012538352607977343,0.0016373613405711589,0.0018143733773896625,0.0012538352607977343,0.004690818975690347,0.03338151994335615,0.2569772244512627,0.008644087797970263,0.03134588151994336,0.006239674297852254,0.017804460703327828,0.03857387302336559,0.022008496577767288,0.2457517111163559
9.0,0.009415190487745693,0.007037126910943946,0.0071827226401358895,0.005484105799563213,0.004270808056297015,0.004416403785488959,0.0027177869449162826,0.0016500849308420287,0.005532637709293861,0.002960446493569522,0.009318126668284398,0.007668041737442368,0.0003882552778451832,0.590487745692793,0.007328318369327833,0.022227614656636738,0.02635282698374181,0.02567338024751274,0.015530211113807329,0.017908274690609075,0.007134190730405242,0.00902693520990051,0.01247270080077651,0.0018442125697646203,0.17190002426595485,0.00694006309148265,0.0010191701043436058,0.0012618296529968455,0.00014559572919194372,0.013103615627274934,4.85319097306479e-05,0.0011647658335355497,0.0006309148264984228,0.0002426595486532395,0.000485319097306479,0.0032031060422227616,0.00694006309148265,0.0011162339238049018,0.012181509342392623,0.04270808056297015,0.2201407425382189,0.004270808056297015,0.008493084202863382,0.004222276146566367,0.00761950982771172,0.010240232953166707,0.006600339723368115,0.08968696918223733
